"TABLE","COMBI_FIELD_NAME","TABLE_ROWS","TOTAL_NULL_ROWS","TOTAL_NOT_NULL_ROWS"
"Person.Person","ModifiedDate","19,972","0","19,972"
"Person.Person","NameStyle","19,972","0","19,972"
"Person.PersonPhone","BusinessEntityID","19,972","0","19,972"
"Person.PersonPhone","ModifiedDate","19,972","0","19,972"
"Person.PersonPhone","PhoneNumber","19,972","0","19,972"
"Person.PersonPhone","PhoneNumberTypeID","19,972","0","19,972"
"Person.PhoneNumberType","ModifiedDate","3","0","3"
"Person.PhoneNumberType","Name","3","0","3"
"Person.PhoneNumberType","PhoneNumberTypeID","3","0","3"
"Person.StateProvince","CountryRegionCode","181","0","181"
"Person.StateProvince","IsOnlyStateProvinceFlag","181","0","181"
"Person.StateProvince","ModifiedDate","181","0","181"
"Person.StateProvince","Name","181","0","181"
"Person.StateProvince","StateProvinceID","181","0","181"
"Person.StateProvince","StateProvinceCode","181","0","181"
"Person.StateProvince","TerritoryID","181","0","181"
"Person.StateProvince","rowguid","181","0","181"
"Production.BillOfMaterials","BillOfMaterialsID","2,679","0","2,679"
"Production.BillOfMaterials","BOMLevel","2,679","0","2,679"
"Production.BillOfMaterials","ComponentID","2,679","0","2,679"
"Production.BillOfMaterials","EndDate","2,679","2,480","199"
"Production.BillOfMaterials","ModifiedDate","2,679","0","2,679"
"Production.BillOfMaterials","PerAssemblyQty","2,679","0","2,679"
"Production.BillOfMaterials","ProductAssemblyID","2,679","103","2,576"
"Production.BillOfMaterials","StartDate","2,679","0","2,679"
"Production.BillOfMaterials","UnitMeasureCode","2,679","0","2,679"
"Production.Culture","CultureID","8","0","8"
"Production.Culture","ModifiedDate","8","0","8"
"Production.Culture","Name","8","0","8"
"Production.Document","ChangeNumber","13","0","13"
"Production.Document","Owner","13","0","13"
"Production.Document","Revision","13","0","13"
"Production.Document","Status","13","0","13"
"Production.Document","Title","13","0","13"
"Production.Document","rowguid","13","0","13"
"Production.Document","DocumentLevel","13","0","13"
"Production.Document","DocumentSummary","13","8","5"
"Production.Document","FolderFlag","13","0","13"
"Production.Document","FileName","13","0","13"
"Production.Document","FileExtension","13","0","13"
"Production.Document","ModifiedDate","13","0","13"
"Production.Illustration","IllustrationID","5","0","5"
"Production.Illustration","ModifiedDate","5","0","5"
"Production.Location","Availability","14","0","14"
"Production.Location","CostRate","14","0","14"
"Production.Location","LocationID","14","0","14"
"Production.Location","ModifiedDate","14","0","14"
"Production.Location","Name","14","0","14"
"Production.Product","Color","504","248","256"
"Production.Product","ProductID","504","0","504"
"Production.Product","ProductNumber","504","0","504"
"Production.Product","ProductLine","504","226","278"
"Production.Product","ProductSubcategoryID","504","209","295"
"Production.Product","ProductModelID","504","209","295"
"Production.Product","ReorderPoint","504","0","504"
"Production.Product","SafetyStockLevel","504","0","504"
"Production.Product","StandardCost","504","0","504"
"Production.Product","Size","504","293","211"
"Production.Product","Style","504","293","211"
"Production.Product","Class","504","257","247"
"Production.Product","SellStartDate","504","0","504"
"Production.Product","SellEndDate","504","406","98"
"Production.Product","SizeUnitMeasureCode","504","328","176"
"Production.Product","Weight","504","299","205"
"Production.Product","WeightUnitMeasureCode","504","299","205"
"Production.Product","rowguid","504","0","504"
"Production.Product","DaysToManufacture","504","0","504"
"Production.Product","DiscontinuedDate","504","504","0"
"Production.Product","FinishedGoodsFlag","504","0","504"
"Production.Product","ListPrice","504","0","504"
"Production.Product","MakeFlag","504","0","504"
"Production.Product","ModifiedDate","504","0","504"
"Production.Product","Name","504","0","504"
"Production.ProductCategory","ModifiedDate","4","0","4"
"Production.ProductCategory","Name","4","0","4"
"Production.ProductCategory","ProductCategoryID","4","0","4"
"Production.ProductCategory","rowguid","4","0","4"
"Production.ProductCostHistory","EndDate","395","195","200"
"Production.ProductCostHistory","ModifiedDate","395","0","395"
"Production.ProductCostHistory","ProductID","395","0","395"
"Production.ProductCostHistory","StartDate","395","0","395"
"Production.ProductCostHistory","StandardCost","395","0","395"
"Production.ProductDescription","Description","762","0","762"
"Production.ProductDescription","ModifiedDate","762","0","762"
"Production.ProductDescription","ProductDescriptionID","762","0","762"
"Production.ProductDescription","rowguid","762","0","762"
"Production.ProductDocument","ModifiedDate","32","0","32"
"Production.ProductDocument","ProductID","32","0","32"
"Production.ProductInventory","Bin","1,069","0","1,069"
"Production.ProductInventory","LocationID","1,069","0","1,069"
"Production.ProductInventory","ModifiedDate","1,069","0","1,069"
"Production.ProductInventory","ProductID","1,069","0","1,069"
"Production.ProductInventory","Quantity","1,069","0","1,069"
"Production.ProductInventory","Shelf","1,069","0","1,069"
"Production.ProductInventory","rowguid","1,069","0","1,069"
"Production.ProductListPriceHistory","EndDate","395","195","200"
"Production.ProductListPriceHistory","ListPrice","395","0","395"
"Production.ProductListPriceHistory","ModifiedDate","395","0","395"
"Production.ProductListPriceHistory","ProductID","395","0","395"
"Production.ProductListPriceHistory","StartDate","395","0","395"
"Production.ProductModel","ModifiedDate","128","0","128"
"Production.ProductModel","Name","128","0","128"
"Production.ProductModel","ProductModelID","128","0","128"
"Production.ProductModel","rowguid","128","0","128"
"Production.ProductModelIllustration","IllustrationID","7","0","7"
"Production.ProductModelIllustration","ModifiedDate","7","0","7"
"Production.ProductModelIllustration","ProductModelID","7","0","7"
"Production.ProductModelProductDescriptionCulture","CultureID","762","0","762"
"Production.ProductModelProductDescriptionCulture","ModifiedDate","762","0","762"
"Production.ProductModelProductDescriptionCulture","ProductModelID","762","0","762"
"Production.ProductModelProductDescriptionCulture","ProductDescriptionID","762","0","762"
"Production.ProductPhoto","LargePhotoFileName","101","0","101"
"Production.ProductPhoto","ModifiedDate","101","0","101"
"Production.ProductPhoto","ProductPhotoID","101","0","101"
"Production.ProductPhoto","ThumbnailPhotoFileName","101","0","101"
"Production.ProductProductPhoto","ModifiedDate","504","0","504"
"Production.ProductProductPhoto","ProductID","504","0","504"
"Production.ProductProductPhoto","ProductPhotoID","504","0","504"
"Production.ProductProductPhoto","Primary","504","0","504"
"Production.ProductReview","Comments","4","0","4"
"Production.ProductReview","EmailAddress","4","0","4"
"Production.ProductReview","ModifiedDate","4","0","4"
"Production.ProductReview","ProductReviewID","4","0","4"
"Production.ProductReview","ProductID","4","0","4"
"Production.ProductReview","ReviewerName","4","0","4"
"Production.ProductReview","ReviewDate","4","0","4"
"Production.ProductReview","Rating","4","0","4"
"Production.ProductSubcategory","ModifiedDate","37","0","37"
"Production.ProductSubcategory","Name","37","0","37"
"Production.ProductSubcategory","ProductSubcategoryID","37","0","37"
"Production.ProductSubcategory","ProductCategoryID","37","0","37"
"Production.ProductSubcategory","rowguid","37","0","37"
"Production.ScrapReason","ModifiedDate","16","0","16"
"Production.ScrapReason","Name","16","0","16"
"Production.ScrapReason","ScrapReasonID","16","0","16"
"Production.TransactionHistory","ActualCost","113,443","0","113,443"
"Production.TransactionHistory","ModifiedDate","113,443","0","113,443"
"Production.TransactionHistory","ProductID","113,443","0","113,443"
"Production.TransactionHistory","Quantity","113,443","0","113,443"
"Production.TransactionHistory","ReferenceOrderID","113,443","0","113,443"
"Production.TransactionHistory","ReferenceOrderLineID","113,443","0","113,443"
"Production.TransactionHistory","TransactionID","113,443","0","113,443"
"Production.TransactionHistory","TransactionDate","113,443","0","113,443"
"Production.TransactionHistory","TransactionType","113,443","0","113,443"
"Production.TransactionHistoryArchive","ActualCost","89,253","0","89,253"
"Production.TransactionHistoryArchive","ModifiedDate","89,253","0","89,253"
"Production.TransactionHistoryArchive","ProductID","89,253","0","89,253"
"Production.TransactionHistoryArchive","Quantity","89,253","0","89,253"
"Production.TransactionHistoryArchive","ReferenceOrderID","89,253","0","89,253"
"Production.TransactionHistoryArchive","ReferenceOrderLineID","89,253","0","89,253"
"Production.TransactionHistoryArchive","TransactionID","89,253","0","89,253"
"Production.TransactionHistoryArchive","TransactionDate","89,253","0","89,253"
"Production.TransactionHistoryArchive","TransactionType","89,253","0","89,253"
"Production.UnitMeasure","ModifiedDate","38","0","38"
"Production.UnitMeasure","Name","38","0","38"
"Production.UnitMeasure","UnitMeasureCode","38","0","38"
"Production.WorkOrder","DueDate","72,591","0","72,591"
"Production.WorkOrder","WorkOrderID","72,591","0","72,591"
"Production.WorkOrder","EndDate","72,591","0","72,591"
"Production.WorkOrder","ModifiedDate","72,591","0","72,591"
"Production.WorkOrder","OrderQty","72,591","0","72,591"
"Production.WorkOrder","ProductID","72,591","0","72,591"
"Production.WorkOrder","StockedQty","72,591","0","72,591"
"Production.WorkOrder","ScrappedQty","72,591","0","72,591"
"Production.WorkOrder","StartDate","72,591","0","72,591"
"Production.WorkOrder","ScrapReasonID","72,591","71,862","729"
"Production.WorkOrderRouting","ActualStartDate","67,131","0","67,131"
"Production.WorkOrderRouting","ScheduledStartDate","67,131","0","67,131"
"Production.WorkOrderRouting","ScheduledEndDate","67,131","0","67,131"
"Production.WorkOrderRouting","WorkOrderID","67,131","0","67,131"
"Production.WorkOrderRouting","ActualEndDate","67,131","0","67,131"
"Production.WorkOrderRouting","ActualResourceHrs","67,131","0","67,131"
"Production.WorkOrderRouting","ActualCost","67,131","0","67,131"
"Production.WorkOrderRouting","LocationID","67,131","0","67,131"
"Production.WorkOrderRouting","ModifiedDate","67,131","0","67,131"
"Production.WorkOrderRouting","OperationSequence","67,131","0","67,131"
"Production.WorkOrderRouting","ProductID","67,131","0","67,131"
"Production.WorkOrderRouting","PlannedCost","67,131","0","67,131"
"Purchasing.ProductVendor","AverageLeadTime","460","0","460"
"Purchasing.ProductVendor","StandardPrice","460","0","460"
"Purchasing.ProductVendor","UnitMeasureCode","460","0","460"
"Purchasing.ProductVendor","BusinessEntityID","460","0","460"
"Purchasing.ProductVendor","LastReceiptCost","460","0","460"
"Purchasing.ProductVendor","LastReceiptDate","460","0","460"
"Purchasing.ProductVendor","MinOrderQty","460","0","460"
"Purchasing.ProductVendor","MaxOrderQty","460","0","460"
"Purchasing.ProductVendor","ModifiedDate","460","0","460"
"Purchasing.ProductVendor","OnOrderQty","460","305","155"
"Purchasing.ProductVendor","ProductID","460","0","460"
"Purchasing.PurchaseOrderDetail","DueDate","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","StockedQty","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","UnitPrice","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","LineTotal","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","ModifiedDate","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","OrderQty","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","PurchaseOrderID","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","PurchaseOrderDetailID","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","ProductID","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","ReceivedQty","8,845","0","8,845"
"Purchasing.PurchaseOrderDetail","RejectedQty","8,845","0","8,845"
"Purchasing.PurchaseOrderHeader","EmployeeID","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","ShipMethodID","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","TaxAmt","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","TotalDue","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","VendorID","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","Freight","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","ModifiedDate","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","OrderDate","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","PurchaseOrderID","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","RevisionNumber","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","Status","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","ShipDate","4,012","0","4,012"
"Purchasing.PurchaseOrderHeader","SubTotal","4,012","0","4,012"
"Purchasing.ShipMethod","ModifiedDate","5","0","5"
"Purchasing.ShipMethod","Name","5","0","5"
"Purchasing.ShipMethod","ShipMethodID","5","0","5"
"Purchasing.ShipMethod","ShipBase","5","0","5"
"Purchasing.ShipMethod","ShipRate","5","0","5"
"Purchasing.ShipMethod","rowguid","5","0","5"
"Purchasing.Vendor","AccountNumber","104","0","104"
"Purchasing.Vendor","ActiveFlag","104","0","104"
"Purchasing.Vendor","BusinessEntityID","104","0","104"
"Purchasing.Vendor","CreditRating","104","0","104"
"Purchasing.Vendor","ModifiedDate","104","0","104"
"Purchasing.Vendor","Name","104","0","104"
"Purchasing.Vendor","PreferredVendorStatus","104","0","104"
"Purchasing.Vendor","PurchasingWebServiceURL","104","98","6"
"Sales.CountryRegionCurrency","CountryRegionCode","109","0","109"
"Sales.CountryRegionCurrency","CurrencyCode","109","0","109"
"Sales.CountryRegionCurrency","ModifiedDate","109","0","109"
"Sales.CreditCard","CreditCardID","19,118","0","19,118"
"Sales.CreditCard","CardType","19,118","0","19,118"
"Sales.CreditCard","CardNumber","19,118","0","19,118"
"Sales.CreditCard","ExpMonth","19,118","0","19,118"
"Sales.CreditCard","ExpYear","19,118","0","19,118"
"Sales.CreditCard","ModifiedDate","19,118","0","19,118"
"Sales.Currency","CurrencyCode","105","0","105"
"Sales.Currency","ModifiedDate","105","0","105"
"Sales.Currency","Name","105","0","105"
"Sales.CurrencyRate","AverageRate","13,532","0","13,532"
"Sales.CurrencyRate","CurrencyRateID","13,532","0","13,532"
"Sales.CurrencyRate","CurrencyRateDate","13,532","0","13,532"
"Sales.CurrencyRate","EndOfDayRate","13,532","0","13,532"
"Sales.CurrencyRate","FromCurrencyCode","13,532","0","13,532"
"Sales.CurrencyRate","ModifiedDate","13,532","0","13,532"
"Sales.CurrencyRate","ToCurrencyCode","13,532","0","13,532"
"Sales.Customer","AccountNumber","19,820","0","19,820"
"Sales.Customer","CustomerID","19,820","0","19,820"
"Sales.Customer","ModifiedDate","19,820","0","19,820"
"Sales.Customer","PersonID","19,820","701","19,119"
"Sales.Customer","StoreID","19,820","18,484","1,336"
"Sales.Customer","TerritoryID","19,820","0","19,820"
"Sales.Customer","rowguid","19,820","0","19,820"
"Sales.PersonCreditCard","BusinessEntityID","19,118","0","19,118"
"Sales.PersonCreditCard","CreditCardID","19,118","0","19,118"
"Sales.PersonCreditCard","ModifiedDate","19,118","0","19,118"
"Sales.SalesOrderDetail","CarrierTrackingNumber","121,317","60,398","60,919"
"Sales.SalesOrderDetail","UnitPriceDiscount","121,317","0","121,317"
"Sales.SalesOrderDetail","rowguid","121,317","0","121,317"
"Sales.SalesOrderDetail","LineTotal","121,317","0","121,317"
"Sales.SalesOrderDetail","ModifiedDate","121,317","0","121,317"
"Sales.SalesOrderDetail","OrderQty","121,317","0","121,317"
"Sales.SalesOrderDetail","ProductID","121,317","0","121,317"
"Sales.SalesOrderDetail","SalesOrderID","121,317","0","121,317"
"Sales.SalesOrderDetail","SalesOrderDetailID","121,317","0","121,317"
"Sales.SalesOrderDetail","SpecialOfferID","121,317","0","121,317"
"Sales.SalesOrderDetail","UnitPrice","121,317","0","121,317"
"Sales.SalesOrderHeader","AccountNumber","31,465","0","31,465"
"Sales.SalesOrderHeader","ModifiedDate","31,465","0","31,465"
"Sales.SalesOrderHeader","OrderDate","31,465","0","31,465"
"Sales.SalesOrderHeader","OnlineOrderFlag","31,465","0","31,465"
"Sales.SalesOrderHeader","PurchaseOrderNumber","31,465","27,659","3,806"
"Sales.SalesOrderHeader","RevisionNumber","31,465","0","31,465"
"Sales.SalesOrderHeader","SalesOrderID","31,465","0","31,465"
"Sales.SalesOrderHeader","ShipDate","31,465","0","31,465"
"Sales.SalesOrderHeader","Status","31,465","0","31,465"
"Sales.SalesOrderHeader","SalesOrderNumber","31,465","0","31,465"
"Sales.SalesOrderHeader","SubTotal","31,465","0","31,465"
"Sales.SalesOrderHeader","BillToAddressID","31,465","0","31,465"
"Sales.SalesOrderHeader","SalesPersonID","31,465","27,659","3,806"
"Sales.SalesOrderHeader","ShipToAddressID","31,465","0","31,465"
"Sales.SalesOrderHeader","ShipMethodID","31,465","0","31,465"
"Sales.SalesOrderHeader","TaxAmt","31,465","0","31,465"
"Sales.SalesOrderHeader","TotalDue","31,465","0","31,465"
"Sales.SalesOrderHeader","TerritoryID","31,465","0","31,465"
"Sales.SalesOrderHeader","rowguid","31,465","0","31,465"
"Sales.SalesOrderHeader","CreditCardApprovalCode","31,465","1,131","30,334"
"Sales.SalesOrderHeader","Comment","31,465","31,465","0"
"Sales.SalesOrderHeader","CurrencyRateID","31,465","17,489","13,976"
"Sales.SalesOrderHeader","CustomerID","31,465","0","31,465"
"Sales.SalesOrderHeader","CreditCardID","31,465","1,131","30,334"
"Sales.SalesOrderHeader","DueDate","31,465","0","31,465"
"Sales.SalesOrderHeader","Freight","31,465","0","31,465"
"Sales.SalesOrderHeaderSalesReason","ModifiedDate","27,647","0","27,647"
"Sales.SalesOrderHeaderSalesReason","SalesOrderID","27,647","0","27,647"
"Sales.SalesOrderHeaderSalesReason","SalesReasonID","27,647","0","27,647"
"Sales.SalesPerson","BusinessEntityID","17","0","17"
"Sales.SalesPerson","Bonus","17","0","17"
"Sales.SalesPerson","CommissionPct","17","0","17"
"Sales.SalesPerson","ModifiedDate","17","0","17"
"Sales.SalesPerson","SalesQuota","17","3","14"
"Sales.SalesPerson","SalesYTD","17","0","17"
"Sales.SalesPerson","SalesLastYear","17","0","17"
"Sales.SalesPerson","TerritoryID","17","3","14"
"Sales.SalesPerson","rowguid","17","0","17"
"Sales.SalesPersonQuotaHistory","BusinessEntityID","163","0","163"
"Sales.SalesPersonQuotaHistory","ModifiedDate","163","0","163"
"Sales.SalesPersonQuotaHistory","QuotaDate","163","0","163"
"Sales.SalesPersonQuotaHistory","SalesQuota","163","0","163"
"Sales.SalesPersonQuotaHistory","rowguid","163","0","163"
"Sales.SalesReason","ModifiedDate","10","0","10"
"Sales.SalesReason","Name","10","0","10"
"Sales.SalesReason","ReasonType","10","0","10"
"Sales.SalesReason","SalesReasonID","10","0","10"
"Sales.SalesTaxRate","ModifiedDate","29","0","29"
"Sales.SalesTaxRate","Name","29","0","29"
"Sales.SalesTaxRate","SalesTaxRateID","29","0","29"
"Sales.SalesTaxRate","StateProvinceID","29","0","29"
"Sales.SalesTaxRate","TaxType","29","0","29"
"Sales.SalesTaxRate","TaxRate","29","0","29"
"Sales.SalesTaxRate","rowguid","29","0","29"
"Sales.SalesTerritory","CostYTD","10","0","10"
"Sales.SalesTerritory","rowguid","10","0","10"
"Sales.SalesTerritory","CostLastYear","10","0","10"
"Sales.SalesTerritory","CountryRegionCode","10","0","10"
"Sales.SalesTerritory","Group","10","0","10"
"Sales.SalesTerritory","ModifiedDate","10","0","10"
"Sales.SalesTerritory","Name","10","0","10"
"Sales.SalesTerritory","SalesYTD","10","0","10"
"Sales.SalesTerritory","SalesLastYear","10","0","10"
"Sales.SalesTerritory","TerritoryID","10","0","10"
"Sales.SalesTerritoryHistory","BusinessEntityID","17","0","17"
"Sales.SalesTerritoryHistory","EndDate","17","13","4"
"Sales.SalesTerritoryHistory","ModifiedDate","17","0","17"
"Sales.SalesTerritoryHistory","StartDate","17","0","17"
"Sales.SalesTerritoryHistory","TerritoryID","17","0","17"
"Sales.SalesTerritoryHistory","rowguid","17","0","17"
"Sales.ShoppingCartItem","DateCreated","3","0","3"
"Sales.ShoppingCartItem","ModifiedDate","3","0","3"
"Sales.ShoppingCartItem","ProductID","3","0","3"
"Sales.ShoppingCartItem","Quantity","3","0","3"
"Sales.ShoppingCartItem","ShoppingCartItemID","3","0","3"
"Sales.ShoppingCartItem","ShoppingCartID","3","0","3"
"Sales.SpecialOffer","Category","16","0","16"
"Sales.SpecialOffer","Type","16","0","16"
"Sales.SpecialOffer","rowguid","16","0","16"
"Sales.SpecialOffer","Description","16","0","16"
"Sales.SpecialOffer","DiscountPct","16","0","16"
"Sales.SpecialOffer","EndDate","16","0","16"
"Sales.SpecialOffer","MinQty","16","0","16"
"Sales.SpecialOffer","MaxQty","16","12","4"
"Sales.SpecialOffer","ModifiedDate","16","0","16"
"Sales.SpecialOffer","SpecialOfferID","16","0","16"
"Sales.SpecialOffer","StartDate","16","0","16"
"Sales.SpecialOfferProduct","ModifiedDate","538","0","538"
"Sales.SpecialOfferProduct","ProductID","538","0","538"
"Sales.SpecialOfferProduct","SpecialOfferID","538","0","538"
"Sales.SpecialOfferProduct","rowguid","538","0","538"
"Sales.Store","BusinessEntityID","701","0","701"
"Sales.Store","ModifiedDate","701","0","701"
"Sales.Store","Name","701","0","701"
"Sales.Store","SalesPersonID","701","0","701"
"Sales.Store","rowguid","701","0","701"
"dbo.AWBuildVersion","Database Version","1","0","1"
"dbo.AWBuildVersion","ModifiedDate","1","0","1"
"dbo.AWBuildVersion","SystemInformationID","1","0","1"
"dbo.AWBuildVersion","VersionDate","1","0","1"
"dbo.DatabaseLog","DatabaseLogID","1,596","0","1,596"
"dbo.DatabaseLog","DatabaseUser","1,596","0","1,596"
"dbo.DatabaseLog","Event","1,596","0","1,596"
"dbo.DatabaseLog","Object","1,596","0","1,596"
"dbo.DatabaseLog","PostTime","1,596","0","1,596"
"dbo.DatabaseLog","Schema","1,596","1","1,595"
"dbo.DatabaseLog","TSQL","1,596","0","1,596"
