"ATTRIBUTE_NAME","ATTRIBUTE_VALUE"
"os_authent_prefix","ops$"
"os_roles","FALSE"
"parallel_adaptive_multi_user","TRUE"
"parallel_automatic_tuning","FALSE"
"parallel_degree_level","100"
"parallel_degree_limit","CPU"
"parallel_degree_policy","MANUAL"
"parallel_execution_message_size","16384"
"parallel_force_local","FALSE"
"parallel_instance_group","None"
"parallel_io_cap_enabled","FALSE"
"parallel_max_servers","0"
"parallel_min_percent","0"
"parallel_min_servers","0"
"parallel_min_time_threshold","AUTO"
"parallel_server","FALSE"
"parallel_server_instances","1"
"parallel_servers_target","1024"
"parallel_threads_per_cpu","2"
"pdb_file_name_convert","None"
"pdb_lockdown","None"
"pdb_os_credential","None"
"permit_92_wrap_format","TRUE"
"pga_aggregate_limit","8178892800"
"pga_aggregate_target","4227858432"
"plscope_settings","IDENTIFIERS:NONE"
"plsql_ccflags","None"
"plsql_code_type","INTERPRETED"
"plsql_debug","FALSE"
"plsql_optimize_level","2"
"plsql_v2_compatibility","FALSE"
"plsql_warnings","DISABLE:ALL"
"pre_page_sga","TRUE"
"processes","2600"
"processor_group_name","None"
"query_rewrite_enabled","TRUE"
"query_rewrite_integrity","enforced"
"rdbms_server_dn","None"
"read_only_open_delayed","FALSE"
"recovery_parallelism","0"
"recyclebin","on"
"redo_transport_user","None"
"remote_dependencies_mode","TIMESTAMP"
"remote_listener","None"
"remote_login_passwordfile","EXCLUSIVE"
"remote_os_authent","FALSE"
"remote_os_roles","FALSE"
"replication_dependency_tracking","TRUE"
"resource_limit","TRUE"
"resource_manager_cpu_allocation","64"
"resource_manager_plan","SCHEDULER[0x4445]:DEFAULT_MAINTENANCE_PLAN"
"result_cache_max_result","5"
"result_cache_max_size","0"
"result_cache_mode","MANUAL"
"result_cache_remote_expiration","0"
"resumable_timeout","0"
"rollback_segments","None"
"sec_case_sensitive_logon","TRUE"
"sec_max_failed_login_attempts","3"
"sec_protocol_error_further_action","(DROP,3)"
"sec_protocol_error_trace_action","TRACE"
"sec_return_server_release_banner","FALSE"
"serial_reuse","disable"
"service_names","wrech"
"session_cached_cursors","50"
"session_max_open_files","10"
"sessions","3968"
"sga_max_size","21005074432"
"sga_target","21005074432"
"shadow_core_dump","partial"
"shared_memory_address","0"
"shared_pool_reserved_size","117440512"
"shared_pool_size","0"
"shared_server_sessions","None"
"shared_servers","0"
"skip_unusable_indexes","TRUE"
"smtp_out_server","None"
"sort_area_retained_size","0"
"sort_area_size","65536"
"spatial_vector_acceleration","FALSE"
"spfile","None"
"sql92_security","FALSE"
"sql_trace","FALSE"
"sqltune_category","DEFAULT"
"standby_archive_dest","?/dbs/arch"
"standby_file_management","MANUAL"
"star_transformation_enabled","FALSE"
"statistics_level","TYPICAL"
"streams_pool_size","0"
"tape_asynch_io","TRUE"
"temp_undo_enabled","FALSE"
"thread","0"
"threaded_execution","FALSE"
"timed_os_statistics","0"
"timed_statistics","TRUE"
"trace_enabled","TRUE"
"tracefile_identifier","None"
"transactions","4364"
"transactions_per_rollback_segment","5"
"undo_management","AUTO"
"undo_retention","900"
"undo_tablespace","UNDOTBS1"
"unified_audit_sga_queue_size","1048576"
"use_dedicated_broker","FALSE"
"use_indirect_data_buffers","FALSE"
"use_large_pages","TRUE"
"user_dump_dest","/u01/oracle/product/12.1.0/dbhome_1/rdbms/log"
"utl_file_dir","None"
"workarea_size_policy","AUTO"
"xml_db_events","enable"
